title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Markedsfører,markedsfoerer,Akademiske yrker,2431,729600,9185,Bachelor,https://utdanning.no/yrker/y_markedsforer
Markedssjef,markedssjef,Ledere,1222,997560,1861,,https://utdanning.no/yrker/y_markedssjef
Maskiningeniør,maskiningenioer,Høyskoleyrker,3115,785280,8733,Master,https://utdanning.no/yrker/y_maskiningenior
Maskinist,maskinist,Høyskoleyrker,3151,975720,3105,Fagbrev/fagskole,https://utdanning.no/yrker/y_maskinist
Maskinsjef,maskinsjef,Høyskoleyrker,3151,975720,3105,Bachelor,https://utdanning.no/yrker/y_maskinsjef
Maskør og parykkmaker,maskoer-og-parykkmaker,Håndverkere,7531,591000,547,Fagbrev/fagskole,https://utdanning.no/yrker/y_maskor_parykk
Massasjeterapeut,massasjeterapeut,,,,,,https://utdanning.no/yrker/y_massasjeter
Matematiker,matematiker,Akademiske yrker,2120,796800,1759,Master,https://utdanning.no/yrker/y_matematiker
Matros,matros,"Prosess- og maskinoperatører, transportarbeidere mv.",8350,707280,5951,Videregående,https://utdanning.no/yrker/y_matros
Mattekniker,mattekniker,Høyskoleyrker,3257,829800,5524,Fagbrev/fagskole,https://utdanning.no/yrker/y_naringsmiddeltekinker
Matteknolog,matteknolog,Høyskoleyrker,3257,829800,5524,,https://utdanning.no/yrker/y_matteknolog
Mediedesigner,mediedesigner,Akademiske yrker,2166,726240,4754,Videregående,https://utdanning.no/yrker/y_mediedesigner
Mediegrafiker,mediegrafiker,Håndverkere,7321,568200,794,Fagbrev/fagskole,https://utdanning.no/yrker/y_mediegrafiker
Medietekniker,medietekniker,Høyskoleyrker,3521,695040,1444,,https://utdanning.no/yrker/y_medietekniker
Megler,megler,Akademiske yrker,2412,896160,9752,,https://utdanning.no/yrker/y_megler
Mekaniker,mekaniker,Håndverkere,7412,720960,6189,,https://utdanning.no/yrker/y_mekaniker
Menighetspedagog,menighetspedagog,Høyskoleyrker,3413,613320,2830,Bachelor,https://utdanning.no/yrker/y_menighetspedagog
Meteorolog,meteorolog,Akademiske yrker,2112,800280,298,Master,https://utdanning.no/yrker/y_meteorolog
Mikrobiolog,mikrobiolog,Akademiske yrker,2131,823680,1819,Bachelor,https://utdanning.no/yrker/y_mikrobiolog
Miljøarbeider,miljoearbeider,Høyskoleyrker,3412,632160,16464,Bachelor,https://utdanning.no/yrker/y_miljoarbeider
Miljørådgiver,miljoeraadgiver,Akademiske yrker,2133,797160,1131,,https://utdanning.no/yrker/y_miljoradgiver
Miljøterapeut,miljoeterapeut,Salgs- og serviceyrker,5321,617160,94246,Fagbrev/fagskole,https://utdanning.no/yrker/y_miljoterapeut
Misjonær,misjonaer,Høyskoleyrker,3413,613320,2830,Master,https://utdanning.no/yrker/y_misjonar
Modell,modell,Salgs- og serviceyrker,5241,427200,42,,https://utdanning.no/yrker/y_modell
Modellbygger,modellbygger,,,,,Videregående,https://utdanning.no/yrker/y_modellbygger
Modist,modist,Håndverkere,7531,591000,547,Videregående,https://utdanning.no/yrker/y_modist
Motormekaniker,motormekaniker,Håndverkere,7233,642480,21695,Videregående,https://utdanning.no/yrker/y_motormekaniker
Motorsykkelmekaniker,motorsykkelmekaniker,Håndverkere,7231,582000,21708,Videregående,https://utdanning.no/yrker/y_motorsykkelmek
Mur-og flislegger,mur-og-flislegger,Håndverkere,7112,584520,3770,Videregående,https://utdanning.no/yrker/y_murer
Museumsformidler,museumsformidler,Akademiske yrker,2621,672960,1607,,https://utdanning.no/yrker/y_museumsformidler
Musiker,musiker,Akademiske yrker,2652,740520,2283,Bachelor,https://utdanning.no/yrker/y_musiker
Musikkpedagog,musikkpedagog,Akademiske yrker,2354,680160,3100,,https://utdanning.no/yrker/y_musikkpedagog
Musikkprodusent,musikkprodusent,Akademiske yrker,2652,740520,2283,Bachelor,https://utdanning.no/yrker/y_musikkprodusent
