title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Statsviter,statsviter,Akademiske yrker,2632,820320,1161,,https://utdanning.no/yrker/y_statsviter
Steinfagarbeider,steinfagarbeider,Håndverkere,7113,600000,676,Videregående,https://utdanning.no/yrker/y_steinfagarbeider
Stillasbygger,stillasbygger,Håndverkere,7119,557640,3646,Videregående,https://utdanning.no/yrker/y_stillasbygger
Stipendiat,stipendiat,Akademiske yrker,2310,752880,30479,Master,https://utdanning.no/yrker/y_stipendiat
Storurmaker,storurmaker,Håndverkere,7311,665160,534,Fagbrev/fagskole,https://utdanning.no/yrker/y_storurmaker
Strikkehåndverker,strikkehaandverker,Håndverkere,7318,495720,406,Videregående,https://utdanning.no/yrker/y_strikkehandverker
Studiekonsulent,studiekonsulent,,,,,Bachelor,https://utdanning.no/yrker/y_studiekonsulent
Styrmann,styrmann,Høyskoleyrker,3152,960000,6965,Fagbrev/fagskole,https://utdanning.no/yrker/y_styrmann
Støper,stoeper,Håndverkere,7211,558840,268,Fagbrev/fagskole,https://utdanning.no/yrker/y_stoper
Støttekontakt,stoettekontakt,,,,,,https://utdanning.no/yrker/y_stottekontakt
Supportkonsulent,supportkonsulent,Høyskoleyrker,3512,693600,4971,Bachelor,https://utdanning.no/yrker/y_helpdeskmedarbeider
Sveiser,sveiser,Håndverkere,7212,606000,5243,,https://utdanning.no/yrker/y_sveiser
Sykepleier,sykepleier,Akademiske yrker,2223,693960,60208,Bachelor,https://utdanning.no/yrker/y_sykepleier
Sykkelmekaniker,sykkelmekaniker,Håndverkere,7234,427680,361,Videregående,https://utdanning.no/yrker/y_sykkelmek
Systemutvikler,systemutvikler,Akademiske yrker,2511,915960,33243,,https://utdanning.no/yrker/y_systemutvikler
Sølvsmed,soelvsmed,Håndverkere,7313,576000,353,Videregående,https://utdanning.no/yrker/y_solvsmed
TV-fotograf,tv-fotograf,Høyskoleyrker,3431,662640,1215,Bachelor,https://utdanning.no/yrker/y_tvfotograf
Tak- og membrantekker,tak-og-membrantekker,Håndverkere,7121,594720,1343,Videregående,https://utdanning.no/yrker/y_taktekker
Taksidermist,taksidermist,,,,,Videregående,https://utdanning.no/yrker/y_taksidermist
Takstingeniør (takstmann),takstingenioer-takstmann,Høyskoleyrker,3315,711960,2238,Fagbrev/fagskole,https://utdanning.no/yrker/y_takstmann
Tannhelsesekretær,tannhelsesekretaer,Salgs- og serviceyrker,5329,540840,69871,,https://utdanning.no/yrker/y_tannhelsesekretar
Tannlege,tannlege,Akademiske yrker,2261,900000,3024,,https://utdanning.no/yrker/y_tannlege
Tannpleier,tannpleier,Høyskoleyrker,3251,617520,1065,Bachelor,https://utdanning.no/yrker/y_tannpleier
Tanntekniker,tanntekniker,Høyskoleyrker,3214,691560,1023,,https://utdanning.no/yrker/y_tanntekniker
Tatovør,tatovoer,Salgs- og serviceyrker,5142,471960,2911,,https://utdanning.no/yrker/y_tatoverer
Tavlemontør,tavlemontoer,Håndverkere,7412,720960,6189,Videregående,https://utdanning.no/yrker/y_tavlemontor
Taxisjåfør,taxisjaafoer,"Prosess- og maskinoperatører, transportarbeidere mv.",8322,498840,14995,,https://utdanning.no/yrker/y_taxisjafor
Tegnspråktolk,tegnspraaktolk,Akademiske yrker,2643,647880,2154,Bachelor,https://utdanning.no/yrker/y_tegnspraktolk
Teknisk forfatter,teknisk-forfatter,Akademiske yrker,2641,795600,1165,,https://utdanning.no/yrker/y_teknisk_forfatter
Teknisk tegner,teknisk-tegner,Høyskoleyrker,3118,750000,2132,Fagbrev/fagskole,https://utdanning.no/yrker/y_teknisk_tegner
Tekstforfatter,tekstforfatter,Akademiske yrker,2641,795600,1165,,https://utdanning.no/yrker/y_tekstforfatter
Tekstilrenser,tekstilrenser,"Prosess- og maskinoperatører, transportarbeidere mv.",8157,497040,2602,Videregående,https://utdanning.no/yrker/y_tekstilrenser
Telefonselger,telefonselger,Salgs- og serviceyrker,5244,569280,3812,Fagbrev/fagskole,https://utdanning.no/yrker/y_telefonselger
Telekommunikasjonsmontør,telekommunikasjonsmontoer,Håndverkere,7422,583080,3887,Videregående,https://utdanning.no/yrker/y_telemontor
Terapeut,terapeut,,,,,,https://utdanning.no/yrker/y_terapeut
Tilkomsttekniker,tilkomsttekniker,Håndverkere,7215,677400,1534,,https://utdanning.no/yrker/y_tilkomsttekniker
Togekspeditør,togekspeditoer,Kontoryrker,4323,662760,7087,Videregående,https://utdanning.no/yrker/y_togekspeditor
Togelektriker,togelektriker,Håndverkere,7412,720960,6189,Videregående,https://utdanning.no/yrker/y_togelektriker
Togleder,togleder,,,,,Fagbrev/fagskole,https://utdanning.no/yrker/y_togleder
Tolk,tolk,Akademiske yrker,2643,647880,2154,Bachelor,https://utdanning.no/yrker/y_tolk
Toller,toller,Høyskoleyrker,3351,644160,1131,Bachelor,https://utdanning.no/yrker/y_toller
Trafikkbetjent (parkering),trafikkbetjent-parkering,Salgs- og serviceyrker,5419,508080,3160,,https://utdanning.no/yrker/y_parkering
Trafikklærer,trafikklaerer,Salgs- og serviceyrker,5165,699720,2005,,https://utdanning.no/yrker/y_trafikklarer
Trebåtbygger,trebaatbygger,,,,,Videregående,https://utdanning.no/yrker/y_trebatbygger
Tredreier,tredreier,Håndverkere,7115,574800,40269,Videregående,https://utdanning.no/yrker/y_tredreier
Treskjærer,treskjaerer,Håndverkere,7317,575160,11,Videregående,https://utdanning.no/yrker/y_treskjarer
Trikkefører,trikkefoerer,"Prosess- og maskinoperatører, transportarbeidere mv.",8331,567240,16553,Videregående,https://utdanning.no/yrker/y_trikkeforer
Truck- og liftmekaniker,truck-og-liftmekaniker,Håndverkere,7233,642480,21695,,https://utdanning.no/yrker/y_truck_og_liftmekaniker
Tømrer,toemrer,Håndverkere,7115,574800,40269,Videregående,https://utdanning.no/yrker/y_tomrer
UX-designer,ux-designer,Akademiske yrker,2166,726240,4754,,https://utdanning.no/yrker/y_uxdesigner
Undervisningsinspektør,undervisningsinspektoer,Akademiske yrker,2341,705000,80404,Master,https://utdanning.no/yrker/y_undervisningsinsp
Urmaker,urmaker,Håndverkere,7311,665160,534,Videregående,https://utdanning.no/yrker/y_urmaker
Utmarksforvalter,utmarksforvalter,Høyskoleyrker,3143,722760,647,Ingen formelle krav,https://utdanning.no/yrker/y_utmarkskonsulent
Vaskerioperatør,vaskerioperatoer,"Prosess- og maskinoperatører, transportarbeidere mv.",8157,497040,2602,Videregående,https://utdanning.no/yrker/y_vaskerioperator
Vei- og anleggsarbeider,vei-og-anleggsarbeider,"Prosess- og maskinoperatører, transportarbeidere mv.",8342,618120,19581,Videregående,https://utdanning.no/yrker/y_vei_anlegg_arb
Veidrift- og veivedlikeholdsarbeider,veidrift-og-veivedlikeholdsarbeider,"Prosess- og maskinoperatører, transportarbeidere mv.",8342,618120,19581,,https://utdanning.no/yrker/y_veidrift_vedlikeholdsarbeider
Vekter,vekter,Salgs- og serviceyrker,5414,521400,10286,,https://utdanning.no/yrker/y_vekter
Ventilasjons- og blikkenslagerarbeider,ventilasjons-og-blikkenslagerarbeider,Håndverkere,7213,603960,4556,Videregående,https://utdanning.no/yrker/y_blikkenslager
Ventilasjonstekniker,ventilasjonstekniker,Håndverkere,7126,645000,17683,,https://utdanning.no/yrker/y_ventilasjonstekniker
Verktøymaker,verktoeymaker,Håndverkere,7222,629520,2583,Videregående,https://utdanning.no/yrker/y_verktoymaker
Vernepleier,vernepleier,Akademiske yrker,2224,686280,22457,,https://utdanning.no/yrker/y_vernepleier
Veterinær,veterinaer,Akademiske yrker,2250,795240,1821,Doktorgrad,https://utdanning.no/yrker/y_veterinar
Videokunstner,videokunstner,,,,,Bachelor,https://utdanning.no/yrker/y_videokunst
Vikler,vikler,Håndverkere,7412,720960,6189,Videregående,https://utdanning.no/yrker/y_vikler
Vinkelner,vinkelner,Salgs- og serviceyrker,5131,448200,22815,Fagbrev/fagskole,https://utdanning.no/yrker/y_vinkelner
Webdesigner,webdesigner,Akademiske yrker,2166,726240,4754,Bachelor,https://utdanning.no/yrker/y_webdesigner
Yrkesfaglærer,yrkesfaglaerer,Akademiske yrker,2320,675600,882,Bachelor,https://utdanning.no/yrker/y_faglarer
Økonom,oekonom,Akademiske yrker,2412,896160,9752,Bachelor,https://utdanning.no/yrker/y_okonom
Økonomikonsulent,oekonomikonsulent,Akademiske yrker,2422,739560,90317,,https://utdanning.no/yrker/y_okonomikonsulent
Økonomisjef,oekonomisjef,Ledere,1211,1220040,8708,,https://utdanning.no/yrker/y_okonomisjef
Øyelege,oeyelege,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_oyelege
